step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.827153946469593,0,0.0,0.9769388868861123,0,0.0,0.9796725916583711,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9768067148340429,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9764446183415124,0,0.0,0.9765658974061358,0,0.0,0.9780577747211767,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9804845420719124,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.73069210505923,0,0.0,0.9851312982988604,0,0.0,0.9871295539126365,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9849310959046318,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9850653685076491,0,0.0,0.9859822037181796,0,0.0,0.9867186938805512,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8962574730094662,0,0.0,1.0,0,0.0
15.0,40,0,1,0,40,0,2.0,0.05,11.19359242438949,0,0.0,0.7421707655887557,0,0.0,0.9525002441993236,0,0.0,1.0,0,0.0,1.0,0,0.0,0.970673971427785,0,0.0,0.9930849537336615,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7606094094514894,0,0.0,0.632506866343935,0,0.0,0.9715160007254823,0,0.0,0.93295271493868,0,0.0,1.0,0,0.0,1.0,1,2.0,0.49102088001944527,0,0.0,1.0,1,2.0
20.0,56,0,10,0,56,0,40.0,0.7142857142857143,9.758779320579935,2,9.0,0.6356128229305892,0,0.0,0.8027977587920497,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9467698610541119,0,0.0,0.9942249286952589,0,0.0,1.0,0,0.0,1.0,2,7.0,0.533890671403319,3,10.0,0.4563631212525167,0,0.0,0.9730355369702696,0,0.0,0.9175070163298402,0,0.0,1.0,0,0.0,1.0,3,14.0,0.4702202394157298,0,0.0,1.0,10,40.0
25.0,72,0,4,0,72,0,11.0,0.1527777777777778,9.207544454942216,0,3.0,0.6566023710388582,2,7.0,0.6476456949758764,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8042044164172758,0,0.0,0.9383048538356344,0,0.0,0.9701473496321938,0,0.0,1.0,0,5.0,0.6731187730606266,0,5.0,0.6113759202303078,1,3.0,0.5261373469403068,1,3.0,0.6219588460817412,0,4.0,0.7407309937893926,0,4.0,0.5300749604357307,0,6.0,0.609481447036681,0,2.0,0.434411844828496,4,42.0
30.0,80,0,8,0,80,0,38.0,0.475,10.168538084493111,1,5.0,0.6350209039812575,0,2.0,0.6572161361064235,0,0.0,1.0,0,0.0,1.0,2,7.0,0.46564822190318306,0,0.0,0.9504782455855288,0,0.0,0.8767486617706766,0,0.0,1.0,0,0.0,0.9422283531763319,0,0.0,0.9102386051932745,3,19.0,0.6166601305278157,2,13.0,0.14362027785629133,0,4.0,0.8939751251273778,0,4.0,0.8517374872701771,0,0.0,0.8567232081110815,0,4.0,0.8548148103594299,8,58.0
35.0,96,0,8,0,96,0,43.0,0.4479166666666667,9.620608420644283,4,18.0,0.5607240832019059,0,0.0,0.6515469599866348,0,0.0,0.9333526237146227,0,0.0,1.0,0,1.0,0.5775222444592708,1,5.0,0.2368600490303754,0,0.0,0.9875371178167909,0,0.0,0.7465265134457839,0,0.0,0.7545830632623278,1,3.0,0.6297051014060762,0,11.0,0.6900040807775377,2,29.0,0.5572336120483659,0,4.0,0.7964133021790845,0,4.0,0.9415418327802696,0,0.0,0.7562413463310577,0,2.0,0.9026638803927319,8,77.0
40.0,112,0,11,0,112,0,42.0,0.375,9.6402674143211,0,11.0,0.6217693990125714,2,13.0,0.6397489891274544,0,0.0,0.9293345235326315,0,0.0,0.9382273094880328,0,0.0,0.9663827558816293,0,4.0,0.8538071374928846,0,4.0,0.4467683621351104,0,0.0,0.9905793399345327,2,8.0,0.5722557064526538,3,15.0,0.5928183119176559,1,5.0,0.5188842115505816,0,8.0,0.8698405219962244,2,3.0,0.47717476375936024,0,0.0,0.9273604971330013,1,4.0,0.5151391063607781,0,2.0,0.7824029346995719,11,77.0
45.0,120,0,6,0,120,0,12.0,0.1,8.93997271358437,2,4.0,0.652142969346051,1,5.0,0.6628703801076048,0,0.0,0.9250022305125827,0,0.0,0.9672397685165398,0,0.0,0.4871369646825867,0,4.0,0.9225923176234542,0,4.0,0.9551883534603515,0,0.0,0.4999523263311224,0,6.0,0.5467361023174568,0,8.0,0.5914372131955844,3,14.0,0.3408660405673437,0,2.0,0.8759575882540168,0,7.0,0.1895998593478778,0,6.0,0.3295578468341576,0,5.0,0.4744001618131748,0,6.0,0.8346895483968354,6,71.0
50.0,136,0,19,0,136,0,76.0,0.5588235294117647,9.380714563365613,1,5.0,0.6367065266239248,4,19.0,0.6237754334641521,0,0.0,0.6796810323427598,0,0.0,0.9559444603684547,4,15.0,0.3992709742165789,1,7.0,0.0557266301941959,0,2.0,0.9702102558008329,1,5.0,0.7236907787191321,0,4.0,0.9041027413439336,1,1.0,0.6449945047022989,3,24.0,0.42815225605985197,0,0.0,0.6030662385050268,3,16.0,0.6183266074924056,1,11.0,0.7771973946972165,0,3.0,0.8658371505718353,0,8.0,0.8586434839571074,19,120.0
