step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.020017233923209,0,0.0,0.9538548770580726,0,0.0,0.9509733234512995,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9419027496634972,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9485604208927718,0,0.0,0.9547463618498203,0,0.0,0.9482817400950079,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9514489798667588,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.417910874649609,0,0.0,0.9677671011599739,0,0.0,0.9679194870213578,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9663358686176754,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9691600261934517,0,0.0,0.9704761491743602,0,0.0,0.967568212843081,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.93694742595868,0,0.0,1.0,0,0.0
15.0,40,0,0,0,40,0,0.0,0.0,12.006510365449582,0,0.0,0.7779628394369011,0,0.0,0.950354059094345,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7232263804255697,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8986680400354106,0,0.0,0.952337009183181,0,0.0,0.9477777702779733,0,0.0,0.8934062679988126,0,0.0,0.9555834147959847,0,0.0,0.9595658472766591,0,0.0,0.9348105105371306,0,0.0,0.7776984105053438,0,0.0
20.0,56,0,1,0,56,0,2.0,0.03571428571428571,11.02976943970236,0,0.0,0.7624588649681527,0,1.0,0.836599353281827,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7800682872776863,0,0.0,0.7635213724090271,0,0.0,1.0,0,0.0,1.0,1,2.0,0.5595281089881535,0,0.0,0.6514931640774042,0,0.0,0.9557967339588381,0,0.0,0.9648097976332736,0,0.0,0.8276118263464949,0,0.0,0.9480521796869981,0,0.0,0.9672992529615123,0,0.0,0.9462229912586008,1,3.0
25.0,72,0,5,0,72,0,14.0,0.19444444444444445,10.658530728510344,2,5.0,0.7481848405232188,0,1.0,0.9318779669722624,0,0.0,0.6828122719476655,0,0.0,0.9256263463778056,0,0.0,0.9541653133906847,0,2.0,0.9151006444573622,0,0.0,1.0,0,0.0,1.0,0,1.0,0.7284483167713517,2,8.0,0.5719414209698375,0,0.0,0.6528993043656484,0,0.0,0.8991149924310782,0,2.0,0.5295650892712418,0,0.0,1.0,1,1.0,0.6480319547609441,0,0.0,0.6588538854483454,5,20.0
30.0,80,0,9,0,80,0,32.0,0.4,9.559524603554127,1,2.0,0.6360122006348441,0,1.0,0.744609556198921,0,0.0,0.9292420461745743,0,0.0,0.9732964564259442,0,0.0,0.794600884267711,0,2.0,0.9115354754800452,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9478426180276096,0,1.0,0.5933708225046972,2,11.0,0.5507824714611675,1,3.0,0.5690122722728586,0,4.0,0.9054797151143713,0,2.0,0.4155179822629439,3,13.0,0.4423579421763076,2,6.0,0.6480885336249527,9,45.0
35.0,96,0,6,0,96,0,19.0,0.19791666666666666,9.337303808420982,1,6.0,0.6112964302757221,3,10.0,0.5328829573602915,0,4.0,0.34188261002633435,0,0.0,0.5353176769235526,2,3.0,0.5152016493873871,0,0.0,0.9189724035579829,0,0.0,0.9082174110056344,0,0.0,1.0,0,0.0,0.8517294133056439,0,0.0,0.9492960224739748,0,4.0,0.7830004691059975,0,3.0,0.5424108756987752,0,4.0,0.9180161520370375,0,4.0,0.9063235116150312,0,7.0,0.5402603697612813,0,2.0,0.715120390664806,6,47.0
40.0,112,0,12,0,112,0,28.0,0.25,9.321773458223621,1,5.0,0.6440443979817772,1,10.0,0.5383919134781007,1,6.0,0.716050654281547,2,6.0,0.0012031778347233169,0,1.0,0.6543623883522521,0,4.0,0.4098633114568666,0,0.0,0.9177341322715421,0,0.0,1.0,1,5.0,0.705591818399029,0,0.0,0.9723455923286709,2,10.0,0.7681357421512277,1,5.0,0.4239086129256058,2,10.0,0.5819709138559744,0,4.0,0.8617960875935461,0,4.0,0.8575421878448513,1,5.0,0.6238682692663866,12,75.0
45.0,120,0,9,0,120,0,32.0,0.26666666666666666,9.518743901577075,2,11.0,0.6233445772303283,1,10.0,0.7881758073672459,0,6.0,0.7841565578975394,0,0.0,0.5198760073743276,0,0.0,0.951350156617068,0,4.0,0.8632526521413298,0,2.0,0.8300001220490829,0,4.0,0.40008411183975656,1,2.0,0.6324252489064268,0,0.0,0.941983386294253,0,2.0,0.5226901150035865,1,9.0,0.6547099929584413,0,14.0,0.5846023721312738,0,0.0,0.7570379963091038,0,4.0,0.9255330418142457,4,19.0,0.556881341856597,9,87.0
50.0,136,0,16,0,136,0,67.0,0.49264705882352944,9.509931056798788,0,6.0,0.5332195871206952,1,6.0,0.7145017785227435,2,10.0,0.6670577449565488,0,0.0,0.8996859131302098,0,0.0,0.81909491354676,0,4.0,0.9166475851022954,1,4.0,0.40834381682892407,0,4.0,0.9487028552832556,2,8.0,0.4770749618519604,0,0.0,0.9518035169086708,4,17.0,0.42766405646721256,1,14.0,0.8566955971756574,1,8.0,0.5303216709462116,0,0.0,0.9053307886650688,0,0.0,0.9579052297866802,4,35.0,0.5774284058202589,16,116.0
