step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
55.0,152,0,10,0,152,0,26.0,0.17105263157894737,9.88045252434283,2,8.0,0.5739930003894386,0,6.0,0.5195892663861581,0,2.0,0.8945815312325248,0,0.0,0.7657809720042745,0,0.0,0.9265213593551002,0,4.0,0.8667501810085461,0,0.0,0.47466404397153017,0,4.0,0.8864866143142425,0,4.0,0.6545547219138652,0,0.0,0.7959391550035229,1,5.0,0.8030666352054521,0,4.0,0.8986771328287855,4,14.0,0.1750480450071683,1,2.0,0.7552358991145128,1,3.0,0.5552196065344651,1,11.0,0.6657473959185861,10,67.0
60.0,159,0,25,1,160,0,103.0,0.6477987421383647,8.62058139943592,4,21.0,0.5596933262449413,2,10.0,0.6790458177823333,1,5.0,0.31922684336505525,3,10.0,0.22518262677967224,1,1.0,0.6329111586106876,0,0.0,0.6647106754824204,3,12.0,0.384043998566179,2,8.0,0.2700586171355749,0,4.0,0.8796340536963738,2,9.0,0.5163719999732388,2,12.0,0.5225393628863552,1,5.0,0.2799577140792771,0,17.0,0.5526910245342967,2,10.0,0.6168796692097739,1,6.0,0.796190172089154,1,16.0,0.7875411937984924,25,146.0
65.0,173,0,22,3,176,0,91.0,0.5260115606936416,8.776660906738039,1,17.0,0.5877129616948179,0,5.0,0.7770248421425738,3,24.0,0.5513531845232694,2,17.0,0.45983914373984935,3,13.0,0.5077401979218688,0,0.0,0.9974412575823803,0,6.0,0.7438044010242613,0,6.0,0.3900527394751426,0,4.0,0.8514233215442982,1,4.0,0.4614532798176855,2,13.0,0.4434047568913083,5,29.0,0.14078923579287217,1,9.0,0.8464113394539418,3,29.0,0.3021511338409448,1,2.0,0.8263772719654293,0,8.0,0.5770472253871562,22,186.0
70.0,182,0,23,10,192,0,98.0,0.5384615384615384,9.527853256699904,3,9.0,0.6475345755354212,2,7.0,0.5530125319056178,0,14.0,0.7994229004328892,0,8.0,0.6236127809067752,4,31.0,0.5445826697762982,0,0.0,1.0,1,7.0,0.7066569323538766,0,6.0,0.8738305309565946,2,5.0,0.5506729592165163,1,6.0,0.8066417454874657,2,16.0,0.7353546810461734,0,32.0,0.6697353442510576,1,10.0,0.6669224454291004,0,15.0,0.6498278028497594,2,8.0,0.6203356562773378,5,21.0,0.3990112061862183,23,195.0
75.0,175,0,11,25,200,0,20.0,0.11428571428571428,8.68321071204674,0,4.0,0.6887133535657498,0,3.0,0.47575365989104484,0,2.0,0.8310183184344373,3,8.0,0.3460033874359737,0,20.0,0.6122835004461281,0,8.0,0.44981525144985685,1,5.0,0.6246714515424323,0,4.0,0.8861116231731607,0,6.0,0.5486959116863209,1,1.0,0.7865665405996153,0,4.0,0.7866236479578383,0,8.0,0.9022178506728447,2,9.0,0.16358471687262782,1,10.0,0.6599548162309616,0,8.0,0.49844400526764204,3,31.0,0.41919744429911265,11,131.0
80.0,188,0,33,28,216,0,137.0,0.7287234042553191,9.092798351016533,2,6.0,0.6746841302692919,3,10.0,0.6102122485638171,1,1.0,0.4596706951779439,5,32.0,0.5108829149573365,2,4.0,0.5907460761354689,0,8.0,0.8821724959227156,4,17.0,0.540962903678852,0,2.0,0.5164966490915103,0,4.0,0.9003581045686618,3,12.0,0.5534301875728586,3,10.0,0.5968362914846682,1,4.0,0.41753662338680697,3,23.0,0.6100178765976592,1,11.0,0.7284288288434883,1,9.0,0.8511163633457094,4,32.0,0.6716219036433037,33,185.0
85.0,204,0,28,28,232,0,108.0,0.5294117647058824,8.323976147757607,0,2.0,0.672502568197099,0,8.0,0.758027507661085,5,26.0,0.1279504236128529,1,29.0,0.5453559353522645,1,3.0,0.5811073646716216,0,6.0,0.8854974802264247,2,19.0,0.30849012564052797,4,22.0,0.23687446754815383,1,5.0,0.8221252361377535,1,9.0,0.5337307911320277,1,12.0,0.47854072726522917,5,28.0,0.19327299698215497,3,38.0,0.7152272538237674,2,5.0,0.5697193493181355,0,4.0,0.8452874093700676,2,26.0,0.4922847108538223,28,242.0
90.0,206,0,33,34,240,0,134.0,0.6504854368932039,8.03347316503028,4,10.0,0.5875729462957147,1,4.0,0.5077414487468375,0,27.0,0.6181926700463416,2,14.0,0.44253519195008606,3,11.0,0.586772543103081,1,4.0,0.45142141983592443,6,30.0,0.2333358938062923,0,22.0,0.6409930003418404,2,8.0,0.5580340575806817,1,8.0,0.8217062007710898,2,14.0,0.7484124161210867,0,27.0,0.6867252389573181,0,19.0,0.46317487897043874,4,26.0,0.5737551975758567,1,5.0,0.6323180456458333,6,30.0,0.20793284045187407,33,259.0
95.0,214,0,21,42,256,0,53.0,0.24766355140186916,8.295929139696304,1,10.0,0.5497562663619763,0,11.0,0.4501102173372907,0,8.0,0.8348719985864208,0,9.0,0.5442581748136774,0,8.0,0.7093573613109964,5,29.0,0.1755898630534276,1,29.0,0.6641257585681685,1,10.0,0.6811084549594981,1,6.0,0.45450072054145324,1,3.0,0.768490660905335,2,7.0,0.7840524100744299,0,8.0,0.8648854673317901,3,12.0,0.2866805366617228,1,20.0,0.6413842231317602,2,8.0,0.37978279972612244,3,43.0,0.3693917066337269,21,221.0
100.0,218,0,31,54,272,0,125.0,0.573394495412844,9.065599379444677,3,15.0,0.6436240423864812,2,11.0,0.7562901686017833,0,2.0,0.7680358934515777,3,9.0,0.5317952452333936,0,2.0,0.8044536995805542,0,33.0,0.6898377662343529,0,6.0,0.8141476079875186,1,9.0,0.5243103261379376,2,15.0,0.7283853713362775,3,12.0,0.5931398704882065,3,15.0,0.6050941870902807,1,5.0,0.3709760645620179,4,26.0,0.4698972368445635,1,10.0,0.49570067554375746,4,24.0,0.6328151343911761,4,35.0,0.6439863992579551,31,229.0
