step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.543804432401043,0,0.0,0.9544833836578562,0,0.0,0.9541358229998746,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9562250916222135,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9568757120356524,0,0.0,0.945116977554052,0,0.0,0.9535998424199772,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9495953281851441,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.745206420976093,0,0.0,0.9673721732429086,0,0.0,0.9674762034879338,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9677679810740683,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9692822967075343,0,0.0,0.9649547564337504,0,0.0,0.9649644261049989,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9656689585134657,0,0.0,1.0,0,0.0
15.0,40,0,1,0,40,0,1.0,0.025,11.637284149544277,0,0.0,0.7515306301002779,0,0.0,0.7103717084619007,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9369863895171733,0,0.0,0.9185465489665283,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6160665006002732,0,0.0,0.9485016671752883,0,0.0,0.9454180497620147,0,0.0,0.8694967611049802,0,0.0,1.0,0,0.0,0.9874812185756632,0,0.0,0.94884943654323,0,0.0,0.8664590917349141,1,1.0
20.0,56,0,10,0,56,0,30.0,0.5357142857142857,10.526341445349043,3,9.0,0.6292086297202101,3,9.0,0.6515693781309763,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9552435551074041,0,0.0,0.9322395948893311,0,0.0,1.0,0,0.0,1.0,3,11.0,0.4937546575332829,1,1.0,0.5304796126468451,0,0.0,0.955560976533353,0,0.0,0.9528308798867076,0,0.0,1.0,0,0.0,0.9146831266611211,0,0.0,0.9615987083421966,0,0.0,0.9536410743409828,10,30.0
25.0,72,0,7,0,72,0,18.0,0.25,8.99584179886143,1,6.0,0.6383968570504119,0,4.0,0.6007649614143561,0,0.0,1.0,0,0.0,0.9217256063874725,1,1.0,0.7180830715030296,0,0.0,0.9649847587967884,0,0.0,0.9890616448951962,0,0.0,1.0,0,5.0,0.6503916649199769,4,15.0,0.4274250139235909,1,1.0,0.6070064358651216,0,0.0,0.5392668605072551,0,4.0,0.39129937678483717,0,0.0,1.0,0,0.0,0.9712573248580553,0,0.0,0.839464756572708,7,36.0
30.0,80,0,13,0,80,0,44.0,0.55,8.65148007434193,1,6.0,0.6347927368966007,2,7.0,0.5481682243816841,0,0.0,1.0,0,0.0,0.9412774462697459,3,10.0,0.4159396404093541,0,0.0,0.4298431192805715,0,0.0,0.9665083130418664,0,0.0,1.0,0,0.0,0.9548172425100554,0,11.0,0.4991873194609092,3,17.0,0.5480782019687749,2,9.0,0.5681344375539549,0,4.0,0.8980478165054125,0,4.0,0.47178222809498865,0,0.0,0.9521774206764141,2,3.0,0.4695565834033657,13,71.0
35.0,96,0,5,0,96,0,22.0,0.22916666666666666,9.792684456293214,4,20.0,0.5667922120751011,0,1.0,0.6800553668358027,0,4.0,0.44977215140541676,0,0.0,1.0,0,8.0,0.5383102449535605,1,4.0,0.2805386257440822,0,0.0,0.9952282595226254,0,0.0,0.9575434695810942,0,4.0,0.7809920725613448,0,0.0,0.8421293591165124,0,10.0,0.728546112507979,0,9.0,0.7102651918371357,0,6.0,0.8086627378015817,0,4.0,0.8341555341777634,0,0.0,0.9618773789720654,0,3.0,0.45942211618932793,5,73.0
40.0,112,0,9,0,112,0,21.0,0.1875,9.407174029241817,0,14.0,0.6096497594062871,1,6.0,0.497743404325156,0,4.0,0.890033766017622,0,0.0,1.0,0,0.0,0.8121267829752823,1,11.0,0.7215169361321594,0,0.0,1.0,0,0.0,0.9635196456211621,0,4.0,0.8982313130461359,2,4.0,0.5552512383311493,1,4.0,0.566652517686152,1,7.0,0.5277116797929412,3,13.0,0.49096718474631035,0,4.0,0.8319819102721814,0,0.0,0.962990534515767,0,0.0,0.9499679324648279,9,71.0
45.0,120,0,14,0,120,0,48.0,0.4,8.618782250527307,2,4.0,0.6819821312699423,0,7.0,0.722864577001849,0,8.0,0.8066028496417277,0,0.0,0.6632390230945955,0,0.0,0.9605192037310876,0,4.0,0.8920521273366088,0,2.0,0.5038882954689682,0,0.0,0.7965147199162652,2,6.0,0.7323262291486466,3,18.0,0.35170730965310476,1,11.0,0.32501323526106346,5,29.0,0.4446901357773769,1,16.0,0.3768337561508453,0,0.0,0.38289566778322315,0,4.0,0.7522234217631553,0,0.0,0.9135655004351342,14,109.0
50.0,136,0,19,0,136,0,83.0,0.6102941176470589,8.418969759756765,1,4.0,0.6394992168281391,0,2.0,0.9232552413526474,2,11.0,0.48906870463584506,0,0.0,0.8342150413245603,0,0.0,0.623942211987345,0,0.0,0.8588652854874812,0,2.0,0.9425699434227939,0,0.0,0.00852939643656544,4,16.0,0.3899146894647243,6,43.0,0.491924372872079,3,16.0,0.5005522552127706,1,36.0,0.4035448399422,2,6.0,0.3176884780008348,0,0.0,1.0,0,4.0,0.8665970371529325,0,4.0,0.6118488883847026,19,144.0
55.0,151,0,22,1,152,0,68.0,0.4503311258278146,8.190548681827735,3,16.0,0.5940570543536642,1,1.0,0.6885880962387423,1,15.0,0.5650286549105682,0,4.0,0.7160613218585139,2,6.0,0.5132420974011775,3,4.0,0.1005875723134196,0,2.0,0.9360353531140735,1,5.0,4.482164009350803e-05,0,10.0,0.5769002119449127,1,38.0,0.5460787911365039,3,20.0,0.5987407938607937,5,30.0,0.4957563370964025,2,13.0,0.30272067045115103,0,8.0,0.3948314855524782,0,4.0,0.8539419986766817,0,4.0,0.7628655697881555,22,180.0
60.0,159,0,21,1,160,0,89.0,0.559748427672956,8.609872153928604,0,10.0,0.5206649087865047,1,10.0,0.4971858893816709,1,11.0,0.5083009758158518,4,11.0,0.4513483671129606,0,2.0,0.7984266104840866,5,27.0,0.1266308174668945,0,0.0,0.9077014592414108,0,0.0,0.9802621770318316,0,0.0,0.8840666901404939,1,8.0,0.5416735082000134,3,31.0,0.6702699304103965,2,36.0,0.4749681993840459,2,24.0,0.6228387656413541,0,8.0,0.8869419431533292,2,4.0,0.6480818284162845,0,4.0,0.8934669540082505,21,186.0
