step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
55.0,152,0,21,0,152,0,82.0,0.5394736842105263,9.360606322240997,1,4.0,0.7522981277613515,6,26.0,0.36707837298282875,4,21.0,0.24188438666337594,0,3.0,0.9243469291310614,2,9.0,0.6573261201057562,0,0.0,0.6091206610274861,0,2.0,0.8207233778199851,0,4.0,0.4142562804781851,2,9.0,0.656120706798539,0,0.0,0.8983119567335504,2,14.0,0.6518834735772175,1,6.0,0.7757980389183767,0,25.0,0.6745734029049785,0,4.0,0.8722354862141207,2,12.0,0.7111550533311357,1,8.0,0.6051598174351711,21,147.0
60.0,160,0,18,0,160,0,71.0,0.44375,8.79156030012042,2,3.0,0.6978057573335004,4,42.0,0.3671987194656154,0,17.0,0.6568620224903409,1,8.0,0.35732922874932455,0,5.0,0.5806677372800886,1,7.0,0.5572194469012972,0,0.0,0.8326094900455124,0,4.0,0.9462918935128972,2,23.0,0.5442815301592694,1,1.0,0.5686849291723348,0,7.0,0.7256239855897383,1,13.0,0.7346746893671436,0,3.0,0.9046474535068519,2,8.0,0.557877469191205,0,4.0,0.6999131939040456,4,26.0,0.3412333054975378,18,171.0
65.0,176,0,22,0,176,0,71.0,0.4034090909090909,8.027253654841731,3,14.0,0.5671009831959595,2,24.0,0.6392499992616627,0,8.0,0.7747195202029998,6,33.0,0.4258494272150767,2,6.0,0.5866818189834374,1,12.0,0.8228347869760774,0,0.0,0.293849002955314,0,4.0,0.8272023046794821,0,4.0,0.8356365936321949,0,2.0,0.6981541289305501,2,9.0,0.46744362707263887,0,6.0,0.5881623450009446,2,7.0,0.5625777279050784,1,12.0,0.22947201609762158,2,5.0,0.5023219794271376,1,25.0,0.5220291626992695,22,171.0
70.0,191,0,29,1,192,0,113.0,0.5916230366492147,8.484016560445736,0,9.0,0.6575219695964021,2,20.0,0.6364487064341264,0,4.0,0.8265953230025133,0,33.0,0.6772279602458146,2,20.0,0.5811475973730554,0,4.0,0.7743398038445094,6,25.0,0.2468150985085234,2,12.0,0.28085682085444424,3,11.0,0.7414107594751905,1,9.0,0.6643759662234816,2,18.0,0.3810835308205588,0,8.0,0.727497256687867,6,29.0,0.15551356630268637,3,17.0,0.4869765880794523,0,14.0,0.5283298849019948,2,18.0,0.7738096442995207,29,251.0
75.0,197,0,28,3,200,0,122.0,0.6192893401015228,8.132570368389938,1,3.0,0.7296609242605943,4,31.0,0.3711334397009059,0,8.0,0.7619564846207075,2,10.0,0.5354084175784061,0,4.0,0.8221799913215827,3,8.0,0.4521271457925744,6,55.0,0.5425623892826171,0,11.0,0.6668888032466124,2,11.0,0.37630261615654137,0,6.0,0.6761789708154003,3,18.0,0.6313152202524465,0,2.0,0.7063060280092918,3,40.0,0.2931673876343743,1,15.0,0.535775561384966,2,10.0,0.6870475765165045,1,6.0,0.6519696517890549,28,238.0
80.0,207,0,27,9,216,0,96.0,0.463768115942029,8.569524558822012,0,2.0,0.7464760772579806,2,27.0,0.4146889060625795,0,4.0,0.7922591846404945,1,11.0,0.364052458526883,2,10.0,0.6468770901255829,2,13.0,0.5546450376156636,0,49.0,0.5962265392446565,0,8.0,0.7712329274866018,6,36.0,0.3599925722286853,2,9.0,0.6025446215706707,0,8.0,0.7166927115391879,1,13.0,0.695968789989787,1,12.0,0.8078063884259804,4,25.0,0.5998123887314415,0,7.0,0.7462237487665807,6,25.0,0.3765466856092657,27,259.0
85.0,223,0,26,9,232,0,79.0,0.3542600896860987,8.754223886751708,3,8.0,0.6998471246049165,2,13.0,0.7039230979353724,0,8.0,0.8008182819947484,5,22.0,0.4842948389649431,0,4.0,0.5302748810023205,3,22.0,0.5977381907964593,3,7.0,0.2698407435312404,0,4.0,0.8396537444278157,2,40.0,0.5968340479576494,2,23.0,0.6468396657285851,1,3.0,0.5695274898981986,0,6.0,0.6066036693720293,0,2.0,0.8098882983577022,1,20.0,0.5291145379506388,3,8.0,0.4917398126303759,1,27.0,0.4637100215269249,26,217.0
90.0,222,0,23,18,240,0,85.0,0.38288288288288286,8.69453248415215,2,6.0,0.5277913394977932,3,23.0,0.6461571279595721,0,4.0,0.742525524578263,0,24.0,0.6883293639973159,3,16.0,0.5016588637108974,2,16.0,0.5973176383776007,0,13.0,0.2652591216814673,0,8.0,0.7773078590884952,2,20.0,0.6204360402643032,1,6.0,0.7215609304042646,2,9.0,0.3755573737165333,0,4.0,0.8218615982634982,2,6.0,0.128242059437191,2,13.0,0.6837877797539863,1,14.0,0.4141106472123141,3,20.0,0.7433131576753916,23,202.0
95.0,223,0,30,33,256,0,135.0,0.6053811659192825,8.489986640824982,3,15.0,0.6753026414294736,2,16.0,0.37067853189973976,0,6.0,0.8449435816877694,2,9.0,0.5044579496784055,0,10.0,0.6815485556420994,6,38.0,0.4157397487397236,4,22.0,0.6636849732645327,0,4.0,0.7501768195399918,5,32.0,0.4795536603292491,3,18.0,0.7058708288538922,2,14.0,0.5756813827336044,0,4.0,0.5427515948246114,0,9.0,0.3767597794742769,1,4.0,0.5771065513822776,2,14.0,0.6852476687140608,0,9.0,0.5750271748969839,30,224.0
100.0,232,0,23,40,272,0,84.0,0.3620689655172414,8.46753116514909,1,9.0,0.6474456533875121,5,32.0,0.4129128181984262,0,4.0,0.8032991079572556,0,9.0,0.3226689484235541,3,13.0,0.6738831956502506,2,40.0,0.35363867988435643,0,18.0,0.6724703262906646,0,8.0,0.7818348323711499,2,29.0,0.38643133005235625,1,11.0,0.581067354587149,0,10.0,0.7498903013796727,0,8.0,0.7797824328443931,0,4.0,0.7825554048796307,4,25.0,0.32450546614354575,1,12.0,0.6931971101374597,4,14.0,0.3805662487570548,23,246.0
