step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
240.0,113,0,17,19,132,0,605.0,5.353982300884955,11.094051772748772,17,605.0,0.7311179905533258,17,605.0
245.0,116,0,19,19,135,0,693.0,5.974137931034483,11.102434881283523,19,693.0,0.7256129651001603,19,693.0
250.0,119,1,20,22,141,0,789.0,6.630252100840337,10.970830729666007,20,789.0,0.7152578823814184,20,789.0
255.0,114,0,20,30,144,0,889.0,7.798245614035087,10.764668003502553,20,889.0,0.7103328836991369,20,889.0
260.0,116,0,21,35,151,0,994.0,8.568965517241379,10.575558245273116,21,994.0,0.6938523388324805,21,994.0
265.0,118,1,22,37,155,0,1104.0,9.35593220338983,10.530816753605661,22,1104.0,0.6930938324549647,22,1104.0
270.0,120,0,24,40,160,0,1223.0,10.191666666666666,10.524115836927422,24,1223.0,0.6936808402581428,24,1223.0
275.0,123,1,27,44,167,0,1351.0,10.983739837398375,9.892539958263654,27,1351.0,0.6459594229593414,27,1351.0
280.0,126,0,33,46,172,0,1506.0,11.952380952380953,9.526484997461875,33,1506.0,0.6065449786864477,33,1506.0
285.0,130,0,37,51,181,0,1677.0,12.9,9.201122613303312,37,1677.0,0.589898737666076,37,1677.0
290.0,135,0,38,53,188,0,1860.0,13.777777777777779,9.236036814654273,38,1861.0,0.5936393686396996,38,1861.0
295.0,139,0,41,54,193,0,2058.0,14.805755395683454,9.053776078783446,41,2059.0,0.560133394153946,41,2059.0
300.0,140,0,45,58,198,0,2279.0,16.27857142857143,8.939731893425838,45,2280.0,0.5539536870245101,45,2280.0
305.0,144,0,45,59,203,0,2504.0,17.38888888888889,8.948208958309475,45,2505.0,0.5549024064850004,45,2505.0
310.0,147,0,47,60,207,0,2736.0,18.612244897959183,8.973864622197228,47,2737.0,0.5455482356917001,47,2737.0
315.0,149,0,48,62,211,0,2975.0,19.966442953020135,8.854443181512757,48,2976.0,0.5280752955575124,48,2976.0
320.0,150,0,50,66,216,0,3224.0,21.493333333333332,8.80415929403776,50,3225.0,0.5334135213965597,50,3225.0
325.0,149,0,51,72,221,0,3478.0,23.34228187919463,8.76647752644963,51,3479.0,0.5342465594650725,51,3479.0
330.0,153,0,51,72,225,0,3591.0,23.470588235294116,8.355935361174554,51,3737.0,0.4946766810972477,51,3737.0
335.0,160,0,56,75,235,0,3668.0,22.925,7.923178605953803,56,3793.0,0.48103433562919024,56,3793.0
340.0,166,0,61,78,244,0,3083.0,18.572289156626507,7.2434000749192675,61,4097.0,0.4249879537144556,61,4097.0
345.0,170,1,41,81,251,0,970.0,5.705882352941177,7.521273818955862,41,2707.0,0.4769985903576498,41,2707.0
350.0,174,0,34,84,258,0,861.0,4.948275862068965,7.713599954771893,34,2857.0,0.48968374125459135,34,2857.0
355.0,179,0,54,87,266,0,1043.0,5.826815642458101,7.429217687139364,54,2924.0,0.4573417875153833,54,2924.0
360.0,181,0,67,92,273,0,1298.0,7.171270718232044,7.200406205079094,67,3243.0,0.43435582150575364,67,3243.0
365.0,187,0,47,96,283,0,1330.0,7.112299465240642,7.758486329800423,47,2450.0,0.5103564519332201,47,2450.0
370.0,186,0,39,101,287,0,1123.0,6.037634408602151,7.919986316592268,39,2641.0,0.5182921193621065,39,2641.0
375.0,190,0,55,102,292,0,884.0,4.652631578947369,7.706706090199076,55,2325.0,0.49028077393673114,55,2325.0
380.0,191,1,68,105,296,0,1145.0,5.994764397905759,7.46515197887119,68,2577.0,0.46580424024174105,68,2577.0
385.0,198,0,51,106,304,0,1183.0,5.974747474747475,7.381905443801175,51,2086.0,0.47033880672910056,51,2086.0
390.0,205,0,47,106,311,0,1290.0,6.2926829268292686,7.477338115321356,47,2310.0,0.45718825693155346,47,2310.0
395.0,213,1,71,107,320,0,1594.0,7.483568075117371,7.5610032666098865,71,2369.0,0.4540495457325722,71,2369.0
400.0,216,1,84,110,326,0,1947.0,9.01388888888889,7.409974778145185,84,2783.0,0.4386967608752962,84,2783.0
405.0,220,0,60,114,334,0,2047.0,9.304545454545455,7.467794889751549,60,2575.0,0.46184670622503354,60,2575.0
410.0,217,0,69,121,338,0,2315.0,10.668202764976959,6.955006445543507,69,2888.0,0.41454040640241774,69,2888.0
415.0,221,0,91,122,343,0,2725.0,12.330316742081449,6.756525215808189,91,3296.0,0.3840989034607039,91,3296.0
